30	is
27	are
26	iss
23	see
7	means
6	ensures
4	ing
4	prevents
4	s
4	using
4	including
3	lay
3	cast
3	is used
3	to vote
3	offers
3	presents
3	based
3	scytl secure
2	rule
2	distributed
2	cast-as-intended
2	describes
2	are countered
2	has to implement
2	is connected
2	has been
2	takes
2	relating
2	operating
2	cannot be attributed
2	is encrypted
2	are monitored
2	has
2	is cast
2	to note
2	represent
1	has manipulated
1	comprise
1	calculates
1	astructure
1	isspost i
1	involves
1	la defines
1	having
1	correspond
1	desscribed
1	hosting is certified
1	are has been developed
1	is organised
1	introduced
1	lang
1	is detected
1	data
1	is blocked
1	are operated
1	uses
1	to consider
1	ccomprises
1	is to vali
1	is carried
1	is conducted
1	needs
1	has been used
1	to transfer
1	send back
1	is certified according
1	may
1	provided
1	to ithstand
1	receives
1	used
1	is seen
1	are presented
1	end-toend
1	is opened
1	cen nter takes
1	alerts
1	are stored
1	can be given
1	is sent
1	are is integrated
1	containing
1	hich ensure
1	set providing
1	to use
1	to gain
1	have
1	im
1	are delivered
1	are also implemented
1	covers
1	validates
1	defined
1	mirrors
1	is protected
1	addressing
1	deciding
1	control
1	displays
1	exclusively permits
1	malare
1	ussing
1	be lost
1	ays used according
1	is completed
1	can vote
1	have to be put
1	back k-end
1	believes
1	signed
1	are performed
1	deffined to respoond
1	expanded
1	require
1	f
1	fulfils
1	disconnected
1	hic
1	admin
1	are not permitted
1	reverse
1	deployed
1	are logged
1	are sent
1	are exclusively run
1	aspeccts
1	separates
1	can therefore not be authenticated using
1	ensuring
1	do not consider
1	does not have
1	already fulfils
1	is presented
1	becomes
1	sending
1	have already been anonymized
1	can be b set up
1	can validate
1	are automatically rejected
1	has also been developed
1	is built
1	are counted
1	launching
1	validated
1	is defined to fully respect
1	possibly manipulated
1	ays authenticate
1	is strongly connected
1	has had
1	approved
1	erating
1	is ensurred
1	is recorded
1	are is used
1	are described
1	described
1	ill be
1	to attacks/manipulation leading
1	files
1	are used
1	cannot be opened
1	not permitted
1	vote
1	to fulfil
1	done
1	to respond
1	addresses is
1	generates
1	mirroring
1	address are not saved
1	noting
1	vie
1	to allo
1	is validated
1	are regularly audited
1	filtering
1	separatted
1	proxy
1	comes
1	to be
1	sceonly kno
1	to handle
1	is operated
1	must be
1	is fully encapsulated
1	according
1	can be used
1	determining
1	discusses
1	carried
1	s designated
1	conducting
1	received
1	have been checked
1	is defined
1	mplementing
1	includes
1	is designed to be
1	ork
1	are reinforced
1	is also guaranteedd
1	are chained
1	used to creaate
1	can reliably prevent
1	reach
1	to geo-redundanc
1	cannot manipulate
1	run
1	measures
1	infrastruct
1	is planned to be completed
1	can
1	hosting based
1	supports
1	above
1	is certified
1	le mirroring
1	prop
1	recorded
1	is regularly tested
1	only kno
1	to prrovide
1	tracked
1	thus prevents
1	fails
1	living
1	are listed
1	is physically separated
1	oting
1	used to generate
1	are fully ure
1	choosing
1	has to be semantically proven
1	operates
1	can only use
1	separrated
1	thus preveenting
1	can take
1	exists
1	can be found
1	res
1	geographically seeparated
1	are set
1	is configured
1	counted
1	can verify
1	e arateed
1	can be integrated
1	ardded
1	correctly transmitted
1	is set
1	comprising
1	veral layered
1	ell-formed
1	d
1	does not happen
1	processes
1	represents
1	has itss
1	receive
1	aiming
1	mixing
1	ays be
1	to go
1	abroad can participate
1	to perform
1	are stronglyy regulated
1	can be expected
1	persisting
1	can be assigned
1	currently also requires
1	read
1	casting
1	is im mplemented ussing
1	is based
1	gave
1	sent
1	guichet
1	to adm ministrate
1	consolidated
1	can be detected
1	are accepted
1	does not provide
1	comprises
1	is ensured using
1	logged
1	sdm reverse
1	c
1	la
1	comprisses
1	ish to introduce
1	ill be applied
1	satisfies
1	protecting
1	guaraantees
1	using regulated
1	can retrieve
1	installed
1	tested
1	is checked
1	developed
1	illustrates
1	are not provided
1	consider
1	using specialized
